URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code;Traffic
https://kasta.ua/market/aksessuary/;⋆ АКСЕСУАРИ ‣ Купити аксесуари в Києві • Доставка по Україні • Інтернет-магазин Каста (modnaKasta);Аксесуари;АКСЕСУАРИ на Каста (modnaKasta)! ➤ Великий вибір аксесуарів за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;537
https://kasta.ua/market/sumki-i-ryukzaki/;Сумки і рюкзаки • Доставка по Україні • Інтернет-магазин Каста;Сумки і рюкзаки;Сумки і рюкзаки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;90
https://kasta.ua/market/koshelki/;Гаманці • Доставка по Україні • Інтернет-магазин Каста;Брендові гаманці;Гаманці на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;6936;True;200;465
https://kasta.ua/market/naruchnyie-chasyi/;Годинники • Доставка по Україні • Інтернет-магазин Каста;Брендові наручні годинники;Годинники на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;27
https://kasta.ua/market/remni/;Ремені • Доставка по Україні • Інтернет-магазин Каста;Красиві брендові ремені;Ремені на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;7344;True;200;21
https://kasta.ua/market/golovnye-ubory/;Головні убори • Доставка по Україні • Інтернет-магазин Каста;Головні убори;Головні убори на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;59
https://kasta.ua/market/ukrasheniya/;Прикраси • Доставка по Україні • Інтернет-магазин Каста;Красиві прикраси біжутерія;Прикраси на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;6288;True;200;148
https://kasta.ua/market/serebryanye-ukrasheniya/;Срібні прикраси • Доставка по Україні • Інтернет-магазин Каста;Каталог срібних прикрас 2021;Срібні прикраси на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;257
https://kasta.ua/market/ochki/;Окуляри • Доставка по Україні • Інтернет-магазин Каста;Оригінальні брендові окуляри;Окуляри на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;4608;True;200;50
https://kasta.ua/market/aksessuary-dlya-volos/;Аксесуари для волосся • Доставка по Україні • Інтернет-магазин Каста;Аксесуари для волосся;Аксесуари для волосся на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;2088;True;200;229
https://kasta.ua/market/sharfy-i-platki/;Шарфи і хустки • Доставка по Україні • Інтернет-магазин Каста;Модні шарфи і хустки 2021;Шарфи і хустки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;6720;True;200;42
https://kasta.ua/market/perchatki-i-varezhki/;Рукавички і рукавиці • Доставка по Україні • Інтернет-магазин Каста;Рукавички і рукавиці;Рукавички і рукавиці на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;1632;True;200;46
https://kasta.ua/market/galstuki/;Краватки • Доставка по Україні • Інтернет-магазин Каста;Модні сучасні і класичні краватки;Краватки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;5592;True;200;9
https://kasta.ua/market/zonty/;Парасольки • Доставка по Україні • Інтернет-магазин Каста;Каталог парасольок: тростина, автомат, складаний;Парасольки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;5496;True;200;34
https://kasta.ua/market/oblozhki-dlya-dokumentov/;Обкладинки для документів • Доставка по Україні • Інтернет-магазин Каста;Обкладинки для паспорта та автодокументів з прикольними малюнками;Обкладинки для документів на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;1008;True;200;43
https://kasta.ua/market/podarochnyj-nabor/;Подарунковий набір • Доставка по Україні • Інтернет-магазин Каста;Красиві подарункові набори аксесуарів;Подарунковий набір на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;96;True;200;42
https://kasta.ua/market/zhenskie-aksessuary/;⋆ ЖІНОЧІ АКСЕСУАРИ ‣ Купити аксесуари для жінок в Києві • Доставка по Україні • Інтернет-магазин Каста (modnaKasta);Жіночі аксесуари;ЖІНОЧІ АКСЕСУАРИ на Каста (modnaKasta)! ➤ Великий вибір аксесуарів для жінок за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;731
https://kasta.ua/market/muzhskie-aksessuary/;⋆ ЧОЛОВІЧІ АКСЕСУАРИ ‣ Купити аксесуари для чоловіків в Києві • Доставка по Україні • Інтернет-магазин Каста (modnaKasta);Чоловічі аксесуари;ЧОЛОВІЧІ АКСЕСУАРИ на Каста (modnaKasta)! ➤ Великий вибір аксесуарів для чоловіків за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;812
https://kasta.ua/market/detskie-aksessuary/;⋆ ДИТЯЧІ АКСЕСУАРИ ‣ Купити аксесуари для дітей в Києві • Доставка по Україні • Інтернет-магазин Каста (modnaKasta);Дитячі аксесуари;ДИТЯЧІ АКСЕСУАРИ на Каста (modnaKasta)! ➤ Великий вибір аксесуарів для дітей за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;27
https://kasta.ua/market/sumki/;Сумки • Доставка по Україні • Інтернет-магазин Каста;Красиві брендові сумочки;Сумки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200;291
https://kasta.ua/market/ryukzaki/;Рюкзаки • Доставка по Україні • Інтернет-магазин Каста;Класні брендові рюкзаки;Рюкзаки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;6216;True;200;6407
https://kasta.ua/market/klatch/;Клатчі • Доставка по Україні • Інтернет-магазин Каста;Сумки клатч;Клатчі на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;576;True;200;10
https://kasta.ua/market/dorozhnaya-sumka/;Дорожні сумки • Доставка по Україні • Інтернет-магазин Каста;Найкращі сумки в дорогу для поїздок;Дорожні сумки на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;384;True;200;90
https://kasta.ua/market/chemodan/;Валізи • Доставка по Україні • Інтернет-магазин Каста;Якісні дорожні валізи на коліщатах;Валізи на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;792;True;200;63
https://kasta.ua/market/portfel/;Портфели • Доставка по Україні • Інтернет-магазин Каста;Сумка портфель для документів;Портфели на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;240;True;200;22
https://kasta.ua/market/aksessuary-dlya-sumok/;Аксесуари для сумок • Доставка по Україні • Інтернет-магазин Каста;Аксесуари для сумок;Аксесуари для сумок на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;432;True;200;18
https://kasta.ua/market/sumki-i-chehlyi/;Чохли • Доставка по Україні • Інтернет-магазин Каста;Сумки, чохли і картхолдери;Чохли на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;24;False;200;5
https://kasta.ua/market/portmone/;Портмоне • Доставка по Україні • Інтернет-магазин Каста;Вертикальні і горизонтальні шкіряні портмоне;Портмоне на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;552;True;200;88
https://kasta.ua/market/zazhim-dlya-deneg/;Затискач • Доставка по Україні • Інтернет-магазин Каста;Шкіряні та металеві затискачі для грошей;Затискач на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;216;True;200;45
https://kasta.ua/market/vizitnitsa/;Візитниця • Доставка по Україні • Інтернет-магазин Каста;Шкіряні кишенькові візитниці;Візитниця на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;552;True;200;2
https://kasta.ua/market/klyuchnitsa/;Ключниця • Доставка по Україні • Інтернет-магазин Каста;Кишенькові ключниці;Ключниця на Каста! ➤ Великий вибір за кращою ціною! Безкоштовна доставка і миттєве повернення!;504;True;200;2
