URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code
https://kasta.ua/market/bytovaya-technika/;Купити ПОБУТОВУ ТЕХНІКУ - Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог товарів: побутова техніка;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: каталог ПОБУТОВОЇ ТЕХНІКИ ✱ в Інтернет-магазині ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;3648;True;200
https://kasta.ua/market/krupnaya-bytovaya-tehnika/;Купити ВЕЛИКУ ПОБУТОВУ ТЕХНІКУ в Києві, Харкові, Одесі, Україні ➤ Каталог ВПТ та вбудованої техніки: Ціна, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог великої побутової техніки;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ВЕЛИКОЇ ПОБУТОВОЇ та ВБУДОВАНОЇ ТЕХНІКИ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Послуга установки;1128;True;200
https://kasta.ua/market/melkaya-bytovaya-tehnika/;Купити ДРІБНУ ПОБУТОВУ ТЕХНІКУ в Києві та Україні - Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог дрібної побутової техніки;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: каталог ДРІБНОЇ ПОБУТОВОЇ ТЕХНІКИ ✱ в Інтернет-магазині ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, оригінал ➤ Власні центри видачі товарів по УКраїні: Київ, Харків, Дніпро, Львів, Одеса;2304;True;200
https://kasta.ua/market/vstraivaemaya-tekhnika/;Вбудована техніка - Купити в Інтернет-магазині 𝗞𝗮𝘀𝘁𝗮 в Києві, Харкові, Одесі, Україні ➤ Низькі Ціни, Відгуки, Знижки;Каталог вбудованої побутової техніки;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ВБУДОВАНОЇ ПОБУТОВОЇ ТЕХНІКИ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Послуга установки, гарантія;264;True;200
https://kasta.ua/market/klimaticheskaya-tehnika/;Купити КЛІМАТИЧНУ ТЕХНІКУ в Києві, Харкові, Одесі, Україні ➤ Ціна, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог товарів: кліматична техніка та обладнання;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ❄ Кліматичної техніки ❄ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Послуга установки;216;True;200
https://kasta.ua/market/holodilniki/;Купити ХОЛОДИЛЬНИК в Києві, Харкові, Одесі, Україні ➤ Каталог холодильників: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Холодильники;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ❆ ХОЛОДИЛЬНИКІВ ❆ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Установка, гарантія;96;True;200
https://kasta.ua/market/morozilnye-kamery/;Купити МОРОЗИЛЬНУ КАМЕРУ та ЛАРЬ в Києві, Харкові, Одесі, Україні ➤ Каталог морозилок: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог техніки для заморозки: морозильні камери та морозильні ларі;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ❆ МОРОЗИЛОК (морозильні камери та морозильні ларі) ❆ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Установка, гарантія;48;False;200
https://kasta.ua/market/plity/;Купити ПЛИТУ в Києві, Харкові, Одесі, Україні ➤ Каталог кухонних плит: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Кухонні плити;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ☀ КУХОННИХ ПЛИТ ☀ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Найкращі виробники ➤ Гарантія;72;True;200
https://kasta.ua/market/posudomoiki/;Купити ПОСУДОМИЙНУ МАШИНУ в Києві, Харкові, Одесі, Україні ➤ Каталог посудомийок: Ціна, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Посудомийні машинки;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ☀ Посудомийних Машин (посудомийок) ☀ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Найкращі виробники ➤Гарантія;24;False;200
https://kasta.ua/market/mikrovolnovki/;Купити МІКРОХВИЛЬОВКУ в Києві, Харкові, Одесі, Україні ➤ Каталог мікрохвильових печей: Ціни, Відгуки, Продаж ➤ Інтернет-магазин  𝗞𝗮𝘀𝘁𝗮;Мікрохвильові печі;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ☀ МІКРОХВИЛЬОВИХ ПЕЧЕЙ (СВЧ-пічок) ☀ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса ➤ Найкращі виробники мікрохвильовок ➤ Гарантія;72;True;200
