URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code
https://kasta.ua/market/tovary-dlya-doma/;⋆ ТОВАРИ ДЛЯ ДОМУ ‣ Купити все для будинку в Києві • Доставка по Україні • Інтернет-магазин Kasta;Товари для дому;ТОВАРИ ДЛЯ ДОМУ на Kasta! ➤ Великий вибір товарів для будинку за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200
https://kasta.ua/market/tovary-dlya-kuhni/;⋆ ТОВАРИ ДЛЯ КУХНІ ‣ Купити все для кухні в Києві • Доставка по Україні • Інтернет-магазин Kasta;Товари для кухні;ТОВАРИ ДЛЯ КУХНІ на Kasta! ➤ Великий вибір товарів для кухні за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200
https://kasta.ua/market/tekstil/;⋆ ТЕКСТИЛЬ ‣ Купити текстиль в Києві • Доставка по Україні • Інтернет-магазин Kasta;Текстиль;ТЕКСТИЛЬ на Kasta! ➤ Великий вибір текстилю за найкращою ціною! Безкоштовна доставка і миттєве повернення!;9960;True;200
https://kasta.ua/market/mebel-dlya-kuhni/;⋆ КУХОННІ МЕБЛІ ‣ Купити меблі для кухні в Києві • Доставка по Україні • Інтернет-магазин Kasta;Меблі для кухні;КУХОННІ МЕБЛІ на Kasta! ➤ Великий вибір меблів для кухні за найкращою ціною! Безкоштовна доставка і миттєве повернення!;288;True;200
https://kasta.ua/market/vse-dlya-sada-i-ogoroda/;⋆ ВСЕ ДЛЯ САДУ ТА ГОРОДУ ‣ Купити товари для дачі в Києві • Доставка по Україні • Інтернет-магазин Kasta;Все для саду та городу;ВСЕ ДЛЯ САДУ ТА ГОРОДУ на Kasta! ➤ Великий вибір товарів для дачі за найкращою ціною! Безкоштовна доставка і миттєве повернення!;1608;True;200
https://kasta.ua/market/zootovary/;⋆ ЗООТОВАРИ ‣ Купити товари для тварин в Києві • Доставка по Україні • Інтернет-магазин Kasta;Зоотовари;ЗООТОВАРИ на Kasta! ➤ Великий вибір товарів для тварин за найкращою ціною! Безкоштовна доставка і миттєве повернення!;1128;True;200
https://kasta.ua/market/aksessuary-dlya-vannoy/;Купити АКСЕСУАРИ ДЛЯ ВАННОЇ кімнати в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Аксесуари та набори для ванної кімнати;Красиві АКСЕСУАРИ для ванних кімнат в каталозі Kasta ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;864;True;200
https://kasta.ua/market/emkosti-dlya-hraneniya/;⋆ ЄМКОСТІ ДЛЯ ЗБЕРІГАННЯ ‣ Купити аксесуари для зберігання речей в Києві • Доставка по Україні • Інтернет-магазин Kasta;Компактне зберігання;ЄМКОСТІ ДЛЯ ЗБЕРІГАННЯ на Kasta! ➤ Великий вибір аксесуарів для зберігання речей за найкращою ціною! Безкоштовна доставка і миттєве повернення!;408;True;200
https://kasta.ua/market/dekor-i-dizain/;ᐈ ДЕКОР ДЛЯ ДОМУ в інтернет-магазині Kasta ᐈ Купити все для декору будинку ᐈ Доставка по Києву, Харкову, Одесі та Україні, недорого;Каталог товарів для декору будинку;Купити предмети декору будинку і квартири ➤ ⋆ Декор інтер'єру ⋆ ➤ Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;9960;True;200
https://kasta.ua/market/remont/;Купити товари для БУДІВНИЦТВА ТА РЕМОНТУ в Києві і Україні - Інтернет-магазин Kasta;Каталог товарів для будівництва і ремонту;Каталог товарів ✱ ДЛЯ БУДІВНИЦТВА ТА РЕМОНТУ ✱ в Інтернет-магазині Kasta ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, Легке повернення ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;1320;True;200
https://kasta.ua/market/kancelyariya/;КАНЦЕЛЯРІЯ • Купити канцелярію онлайн • Доставка по Україні • Інтернет-магазин Kasta;Канцелярські принади;Будинок і Бакалія КАНЦЕЛЯРІЯ на Kasta! ➤ Великий вибір за найкращою ціною! Безкоштовна доставка і миттєве повернення!;3312;True;200
https://kasta.ua/market/tovaryi-dlya-tvorchestva/;ТОВАРИ ДЛЯ ТВОРЧОСТІ ТА ХОБІ купити в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Товари для творчості, хобі та рукоділля;Всі товари для творчості, хобі та рукоділля в каталозі Kasta ➤ Великий вибір за низькими цінами ➤ ТУТ ВИГІДНО: ⋆Акціі і знижки ⋆Центри видачі товару ⋆Доставка ⋆ Великий вибір;4320;True;200
https://kasta.ua/market/vse-dlya-prazdnika/;ᐈ Все для СВЯТА та вечірок ᐈ купити товари для свята в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні;Прикраси, декор та усі товари для свята і вечірки;Святкова атрибутика в каталозі Kasta ➤ Купити ДЕКОР і все для вечірок ➤ Кульки ⋆ На день народження ⋆ Хеллоуїн ⋆ Свічки ➤ Примірка і Легке повернення ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;2832;True;200
https://kasta.ua/market/kastryuli-i-skovorodki/;⋆ КАСТРУЛІ ТА ПАТЕЛЬНІ ‣ Купити Каструлі та пательні в Києві • Доставка по Україні • Інтернет-магазин Kasta;Каструлі і сковорідки;КАСТРЮЛИ І ПАТЕЛЬНІ на Kasta! ➤ Великий вибір каструль і сковорідок за найкращою ціною! Безкоштовна доставка і миттєве повернення!;2400;True;200
https://kasta.ua/market/vse-dlya-zapekaniya-i-vypechki/;⋆ ВСЕ ДЛЯ ВИПІЧКИ ‣ Купити товари для запікання і випічки в Києві • Доставка по Україні • Інтернет-магазин Kasta;Все для запікання і випічки;ВСЕ ДЛЯ ВИПІЧКИ на Kasta! ➤ Великий вибір товарів для запікання і випічки за найкращою ціною! Безкоштовна доставка і миттєве повернення!;1056;True;200
https://kasta.ua/market/posuda-dlya-hraneniya-produktov/;⋆ ПОСУД ДЛЯ ЗБЕРІГАННЯ ПРОДУКТІВ ‣ Купити посуд для зберігання продуктів в Києві • Доставка по Україні • Інтернет-магазин Kasta;Посуд для зберігання продуктів;ПОСУД ДЛЯ ЗБЕРІГАННЯ ПРОДУКТІВ на Kasta! ➤ Великий вибір посуду для зберігання продуктів за найкращою ціною! Безкоштовна доставка і миттєве повернення!;1560;True;200
https://kasta.ua/market/stolovaya-posuda/;⋆ СТОЛОВИЙ ПОСУД ᐈ Купити набір столового посуду в інтернет-магазині Kasta ᐈ Доставка по Києву, Харкову, Одесі та Україні недорого;Красивий столовий посуд для кухні;Купити столовий посуд для кухні в каталозі Kasta ➤ ⋆ Набори ⋆ Скляна ⋆ Керамічна ➤ Постійні АКЦІЇ і ЗНИЖКИ ➤ Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;3456;True;200
https://kasta.ua/market/servirovka-stola/;⋆ ВСЕ ДЛЯ СЕРВІРУВАННЯ СТОЛУ ‣ Купити все для сервірування столу в Києві • Доставка по Україні • Інтернет-магазин Kasta;Сервіровка столу;ВСЕ ДЛЯ СЕРВІРУВАННЯ СТОЛУ на Kasta! ➤ Великий вибір товарів для сервірування столу за найкращою ціною! Безкоштовна доставка і миттєве повернення!;768;True;200
